origin_port,origin_port__STATUS,dest_port,dest_port__STATUS,distance_nm,distance_nm__STATUS,speed_kn_assumed,speed_kn_assumed__STATUS,voyage_time_hours,voyage_time_hours__STATUS,fleet_speed_source,fleet_speed_source__STATUS,ghg_hfo_reference_mean,ghg_hfo_reference_mean__STATUS,cii_hfo_reference_mean,cii_hfo_reference_mean__STATUS,cargo_tonnage,cargo_tonnage__STATUS,fuel_price_usd_per_tonne,fuel_price_usd_per_tonne__STATUS,carbon_price_usd_per_tCO2,carbon_price_usd_per_tCO2__STATUS
 Suez Canal,REAL, Antwerp,REAL,1726.6,DERIVED,17.603,DERIVED,98.09,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Suez Canal,REAL, Plymouth,REAL,1987.89,DERIVED,17.603,DERIVED,112.93,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Suez Canal,REAL, London,REAL,1857.59,DERIVED,17.603,DERIVED,105.53,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Suez Canal,REAL, Rotterdam,REAL,1755.11,DERIVED,17.603,DERIVED,99.71,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Suez Canal,REAL, Hamburg,REAL,1651.77,DERIVED,17.603,DERIVED,93.84,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Antwerp,REAL, Plymouth,REAL,329.41,DERIVED,17.603,DERIVED,18.71,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Antwerp,REAL, London,REAL,144.89,DERIVED,17.603,DERIVED,8.23,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Antwerp,REAL, Rotterdam,REAL,38.21,DERIVED,17.603,DERIVED,2.17,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Antwerp,REAL, Hamburg,REAL,242.19,DERIVED,17.603,DERIVED,13.76,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
 Plymouth,REAL, London,REAL,192.24,DERIVED,17.603,DERIVED,10.92,DERIVED,ship_performance.csv fleet-wide mean (all ship types),REAL,0.048715,DERIVED,0.034115,DERIVED,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT,SCENARIO_INPUT
